Farringdon Underground Station,51.520257,-0.104908
Finchley Central Underground Station,51.600928,-0.192524
Finchley Road & Frognal Rail Station,51.550272,-0.183138
Finchley Road Underground Station,51.54683,-0.179842
Finsbury Park Underground Station,51.564164,-0.106819
Forest Hill Rail Station,51.439282,-0.053151
Fulham Broadway Underground Station,51.480084,-0.195419
Gallions Reach DLR Station,51.508945,0.071565
Gants Hill Underground Station,51.57655,0.066195
Gloucester Road Underground Station,51.494321,-0.182655
Golders Green Underground Station,51.572265,-0.194036
Goldhawk Road Underground Station,51.502009,-0.226714
Goodge Street Underground Station,51.520603,-0.134357
Gospel Oak Rail Station,51.555341,-0.150766
Grange Hill Underground Station,51.613385,0.092077
Great Portland Street Underground Station,51.523845,-0.144258
Green Park Underground Station,51.506951,-0.142783
Greenford Underground Station,51.54243,-0.346052
Greenwich DLR Station,51.47809,-0.013666
Gunnersbury Rail Station,51.491682,-0.275286
Gunnersbury Underground Station,51.491808,-0.275267
Hackney Central Rail Station,51.54711,-0.056051
Hackney Downs Rail Station,51.548763,-0.060813
Hackney Wick Rail Station,51.543416,-0.024912
Haggerston Rail Station,51.538711,-0.075661
Hainault Underground Station,51.603665,0.093493
Hammersmith (Dist&Picc Line) Underground Station,51.492304,-0.223619
Hammersmith (H&C Line) Underground Station,51.49354,-0.225011
Hampstead Heath Rail Station,51.555216,-0.165702
Hampstead Underground Station,51.556638,-0.178484
Hanger Lane Underground Station,51.530182,-0.292704
Harlesden Rail Station,51.536295,-0.257667
Harlesden Underground Station,51.536316,-0.257882
Harringay Green Lanes Rail Station,51.577189,-0.098138
Harrow & Wealdstone Rail Station,51.592167,-0.334573
Harrow & Wealdstone Underground Station,51.592266,-0.335219
Harrow-on-the-Hill Underground Station,51.579202,-0.337226
Hatch End Rail Station,51.609416,-0.368604
Hatton Cross Underground Station,51.466751,-0.423181
Headstone Lane Rail Station,51.602648,-0.357222
Heathrow Terminal 4 Underground Station,51.458527,-0.445762
